Dates,Pollster,Sample,Influence,Democrats,Republicans,Net
"9/19 - 9/22, 2025@@24006",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_EYduduY.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: The Economist^,"1,392 RV@@1392",0.0210857,45,42,3
"7/14 - 7/16, 2025@@23938",<a href='https://www.gelliottmorris.com/p/new-poll-dems-lead-house-generic'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Verasight</a>^Sponsor: Strength In Numbers^,"1,500 A@@1500",0.0206114,47,43,4
"10/13 - 10/19, 2025@@24033",<a href='https://pro.morningconsult.com/trackers/2026-midterm-election-generic-ballot-polls'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"21,829 RV@@21829",0.02026,44.49,42.4,2.09
"6/19 - 6/21, 2025@@23913",<a href='https://www.cygn.al/poll-bitcoin-owners-lean-republican-emerging-as-sought-after-voting-bloc-in-2026-elections/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Cygnal</a>,800 LV@@800,0.0201353,48.4,46,2.400002
"12/12 - 12/15, 2025@@24090",<a href='https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"2,201 RV@@2201",0.0195843,45,44,1
"8/21 - 8/26, 2025@@23979",<a href='https://mclaughlinonline.com/2025/09/02/national-monthly-august-2025/?utm_source=rss&utm_medium=rss&utm_campaign=national-monthly-august-2025'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>McLaughlin & Associates</a>,"1,000 LV@@1000",0.0186914,45,47,-2
"9/12 - 9/15, 2025@@23999",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_XBYs983.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: The Economist^,"1,420 RV@@1420",0.0185674,43,41,2
"10/6 - 10/12, 2025@@24026",<a href='https://pro.morningconsult.com/trackers/2026-midterm-election-generic-ballot-polls'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"21,246 RV@@21246",0.0183621,44.39,42.71,1.68
"6/12 - 6/14, 2025@@23906",<a href='https://www.winningtheissues.org/2025/06/30/winning-the-issues-june-2025-national-survey/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>The Winston Group</a>^Sponsor: Winning the Issues^,"1,000 RV@@1000",0.0172892,46,42,4
"9/29 - 10/5, 2025@@24019",<a href='https://pro.morningconsult.com/trackers/2026-midterm-election-generic-ballot-polls'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"21,493 RV@@21493",0.0167646,43.89,43.29,0.5999985
"6/17 - 6/18, 2025@@23910",<a href='https://echeloninsights.com/in-the-news/middle-east-update/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Echelon Insights</a>,"1,002 LV@@1002",0.0164321,47,48,-1
"7/25 - 7/27, 2025@@23949",<a href='https://www.reuters.com/data/which-party-do-americans-want-run-congress-2025-11-05/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Ipsos</a>^Sponsor: Reuters^,884 RV@@884,0.0163884,40,39,1
"9/5 - 9/8, 2025@@23992",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_7flqP0S.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: The Economist^,"1,487 RV@@1487",0.0161492,44,40,4
"12/5 - 12/7, 2025@@24082",<a href='https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"2,201 RV@@2201",0.0161361,46,43,3
"6/12 - 6/16, 2025@@23908",<a href='https://coefficient.org/one-big-beautiful-bill/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>co/efficient</a>,"1,035 LV@@1035",0.0154966,46,46,0
"9/22 - 9/28, 2025@@24012",<a href='https://pro.morningconsult.com/trackers/2026-midterm-election-generic-ballot-polls'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"21,732 RV@@21732",0.0150599,43.37,42.96,0.4099998
"6/12 - 6/17, 2025@@23909",<a href='https://echeloninsights.com/in-the-news/june-2025-verified-voter-omnibus-2-2-2-2-2-2/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Echelon Insights</a>,982 LV@@982,0.0140258,47,48,-1
"8/29 - 9/2, 2025@@23986",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_yFjgYJq.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: The Economist^,"1,549 RV@@1549",0.0135846,43,39,4
"7/21 - 7/24, 2025@@23946",<a href='https://americasnewmajorityproject.com/winning-with-one-big-beautiful-bill/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>McLaughlin & Associates</a>^Sponsor: America's New Majority Project^,"1,633 LV@@1633",0.0131554,48,43.9,4.099998
"9/15 - 9/21, 2025@@24005",<a href='https://pro.morningconsult.com/trackers/2026-midterm-election-generic-ballot-polls'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"21,386 RV@@21386",0.0131419,43.87,42.74,1.129997
"11/26 - 11/30, 2025@@24075",<a href='https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"2,200 RV@@2200",0.0130195,45,41,4
"11/21 - 11/23, 2025@@24068",<a href='https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"2,200 RV@@2200",0.0122029,45,43,2
"8/29 - 9/2, 2025@@23986",<a href='https://www.scribd.com/document/911899946/Yahoo-YouGov-Newsom-Poll-August-2025'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Yahoo News^,"1,136 RV@@1136",0.0119999,44,40,4
"8/22 - 8/25, 2025@@23978",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_ziFpJLd.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: The Economist^,"1,377 RV@@1377",0.0117528,43,41,2
"9/8 - 9/14, 2025@@23998",<a href='https://pro.morningconsult.com/trackers/2026-midterm-election-generic-ballot-polls'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"23,465 RV@@23465",0.0117154,43.89,42.44,1.450001
"11/14 - 11/16, 2025@@24061",<a href='https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"2,201 RV@@2201",0.0113205,46,44,2
"8/15 - 8/18, 2025@@23971",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_ep7WXyn.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: The Economist^,"1,408 RV@@1408",0.0111946,44,39,5
"8/9 - 8/11, 2025@@23964",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_V8D6b4L.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: The Economist^,"1,474 RV@@1474",0.0107201,42,40,2
"11/7 - 11/9, 2025@@24054",<a href='https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"2,201 RV@@2201",0.0104982,48,43,5
"6/6 - 6/6, 2025@@23898",<a href='https://www.dailymail.co.uk/news/article-14796175/polling-donald-trump-2024-election-elon-musk.html'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>J.L. Partners</a>^Sponsor: DailyMail.com^,"1,006 RV@@1006",0.0102617,42,35,7
"8/1 - 8/4, 2025@@23957",<a href='https://today.yougov.com/topics/politics/trackers/congressional-ballot-voting-intention'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: The Economist^,"1,528 RV@@1528",0.0101322,43.7,38.4,5.299999
"9/1 - 9/7, 2025@@23991",<a href='https://pro.morningconsult.com/trackers/2026-midterm-election-generic-ballot-polls'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"25,541 RV@@25541",0.0101193,44.22,42.09,2.130001
"10/31 - 11/2, 2025@@24047",<a href='https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"2,202 RV@@2202",0.009728,45,42,3
"6/11 - 6/16, 2025@@23908",<a href='https://www.reuters.com/data/which-party-do-americans-want-run-congress-2025-11-05/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Ipsos</a>^Sponsor: Reuters^,"3,458 RV@@3458",0.0097054,40,38,2
"7/25 - 7/28, 2025@@23950",<a href='https://today.yougov.com/topics/politics/trackers/congressional-ballot-voting-intention'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: The Economist^,"1,610 RV@@1610",0.0095383,43,41,2
"6/18 - 6/19, 2025@@23911",<a href='https://napolitannews.org/posts/generic-ballot-gop-holds-largest-lead-of-the-year'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>RMG Research</a>^Sponsor: Napolitan Institute^,"1,000 RV@@1000",0.0094618,44,52,-8
"10/24 - 10/26, 2025@@24040",<a href='https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"2,202 RV@@2202",0.0089956,45,42,3
"7/18 - 7/21, 2025@@23943",<a href='https://today.yougov.com/topics/politics/trackers/congressional-ballot-voting-intention'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: The Economist^,"1,551 RV@@1551",0.0085781,44,41,3
"6/5 - 6/14, 2025@@23906",<a href='https://static1.squarespace.com/static/61ae8d5e55be5c7314b4c83a/t/6852fc5a3ac4c05449fc450e/1750269023826/Clarity+Omnibus+Overview+-+June+2025+%5BPUBLIC%5D.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Clarity Campaign Labs</a>,"1,000 RV@@1000",0.0085449,50,45,5
"8/25 - 8/31, 2025@@23984",<a href='https://pro.morningconsult.com/trackers/2026-midterm-election-generic-ballot-polls'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"26,531 RV@@26531",0.0084601,43.81,42.4,1.41
"6/20 - 6/23, 2025@@23915",<a href='https://www.reuters.com/data/which-party-do-americans-want-run-congress-2025-11-05/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Ipsos</a>^Sponsor: Reuters^,994 RV@@994,0.0084282,40,36,4
"7/9 - 7/14, 2025@@23936",<a href='https://mclaughlinonline.com/2025/07/17/ma-poll-national-monthly-july-2025/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>McLaughlin & Associates</a>,"1,000 LV@@1000",0.0083932,42,47,-5
"10/17 - 10/19, 2025@@24033",<a href='https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"2,200 RV@@2200",0.0082898,46,43,3
"7/24 - 7/28, 2025@@23950",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/20250728_yahoo.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Yahoo News^,"1,167 RV@@1167",0.0082846,46,39,7
"8/18 - 8/24, 2025@@23977",<a href='https://pro.morningconsult.com/trackers/2026-midterm-election-generic-ballot-polls'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"27,673 RV@@27673",0.0080421,44.05,42.24,1.809998
"6/3 - 6/4, 2025@@23896",<a href='https://www.cygn.al/national-poll-record-number-say-nation-is-on-right-track-voters-back-trumps-one-big-beautiful-bill-for-tax-relief-and-border-security/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Cygnal</a>,"1,500 LV@@1500",0.0078895,47.2,46.9,0.2999992
"10/10 - 10/12, 2025@@24026",<a href='https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"2,202 RV@@2202",0.0076102,46,43,3
"7/11 - 7/14, 2025@@23936",<a href='https://today.yougov.com/topics/politics/trackers/congressional-ballot-voting-intention'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: The Economist^,"1,506 RV@@1506",0.0076082,43,39,4
"8/11 - 8/17, 2025@@23970",<a href='https://pro.morningconsult.com/trackers/2026-midterm-election-generic-ballot-polls'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"27,248 RV@@27248",0.0074346,43.93,42.88,1.049999
"10/3 - 10/5, 2025@@24019",<a href='https://pro.morningconsult.com/analysis/government-shutdown-polling-october-2025'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"2,200 RV@@2200",0.0069355,46,43,3
"8/4 - 8/10, 2025@@23963",<a href='https://pro.morningconsult.com/trackers/2026-midterm-election-generic-ballot-polls'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"26,631 RV@@26631",0.0067946,43.79,42.66,1.130001
"7/4 - 7/7, 2025@@23929",<a href='https://today.yougov.com/topics/politics/trackers/congressional-ballot-voting-intention'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: The Economist^,"1,389 RV@@1389",0.0064667,43,40,3
"7/28 - 8/3, 2025@@23956",<a href='https://pro.morningconsult.com/trackers/2026-midterm-election-generic-ballot-polls'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"27,432 RV@@27432",0.0062625,43.68,42.53,1.150002
"6/6 - 6/12, 2025@@23904",<a href='https://www.gelliottmorris.com/p/trump-approval-at-42-democrats-up'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Verasight</a>^Sponsor: Strength In Numbers^,"1,500 A@@1500",0.0060686,45,37,8
"7/21 - 7/27, 2025@@23949",<a href='https://pro.morningconsult.com/trackers/2026-midterm-election-generic-ballot-polls'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"28,524 RV@@28524",0.0057135,44.07,42.19,1.880001
"6/27 - 6/30, 2025@@23922",<a href='https://today.yougov.com/topics/politics/trackers/congressional-ballot-voting-intention'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: The Economist^,"1,491 RV@@1491",0.0056638,44,40,4
"6/9 - 6/9, 2025@@23901",<a href='https://napolitannews.org/posts/musk-3rd-party-would-get-8-percent-of-voters'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>RMG Research</a>^Sponsor: Napolitan Institute^,"1,000 RV@@1000",0.0052411,35,35,0
"7/14 - 7/20, 2025@@23942",<a href='https://pro.morningconsult.com/trackers/2026-midterm-election-generic-ballot-polls'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"28,190 RV@@28190",0.0050322,44.32,42.59,1.73
"6/20 - 6/23, 2025@@23915",<a href='https://today.yougov.com/topics/politics/trackers/congressional-ballot-voting-intention'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: The Economist^,"1,455 RV@@1455",0.0045594,44,40,4
"7/7 - 7/13, 2025@@23935",<a href='https://pro.morningconsult.com/trackers/2026-midterm-election-generic-ballot-polls'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"28,276 RV@@28276",0.0043661,44.72,42.75,1.970001
"6/30 - 7/6, 2025@@23928",<a href='https://pro.morningconsult.com/trackers/2026-midterm-election-generic-ballot-polls'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"27,913 RV@@27913",0.0036618,44.36,42.51,1.850002
"6/12 - 6/15, 2025@@23907",<a href='https://americasnewmajorityproject.com/how-to-talk-about-taxes-and-the-budget-bill-what-voters-respond-to-best/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>McLaughlin & Associates</a>^Sponsor: America's New Majority Project^,"1,637 LV@@1637",0.003553,47.2,46.4,0.7999992
"6/13 - 6/16, 2025@@23908",<a href='https://today.yougov.com/topics/politics/trackers/congressional-ballot-voting-intention'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: The Economist^,"1,351 RV@@1351",0.0033228,44,41,3
"8/29 - 8/31, 2025@@23984",<a href='https://links.morningconsult.com/s/vb/zpOJTp1fd-BIR_rEUoDVVpbxjXadg6zyKojmasnqASm1Hp621kq0xaatdElmOwOyNR5BxVXYL1h85IVSEMQ-rZTd-Yz0U-hjJgu1WfIkrldD66UKOSCLbrYHiSzLtKjUuUOD33LEK9wVgTQl22Ic8BUrAP0z3AlRWdSJsA/dAaqMr_Kzp13zZAl6CKc8AYgFM7Csr5U/12'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"2,202 RV@@2202",0.0032572,45,41,4
"6/23 - 6/29, 2025@@23921",<a href='https://pro.morningconsult.com/trackers/2026-midterm-election-generic-ballot-polls'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"27,694 RV@@27694",0.0029554,43.58,43.34,0.2400017
"6/10 - 6/15, 2025@@23907",<a href='https://mclaughlinonline.com/pols/wp-content/uploads/2025/06/National-June-Presentation-RELEASE-6-16-25.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>McLaughlin & Associates</a>,"1,000 LV@@1000",0.0027398,42,47,-5
"6/16 - 6/22, 2025@@23914",<a href='https://pro.morningconsult.com/trackers/2026-midterm-election-generic-ballot-polls'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"28,021 RV@@28021",0.0022634,43.99,43.73,0.2600021
"6/9 - 6/11, 2025@@23903",<a href='https://www.clubforgrowth.org/icymi-new-cfg-poll-finds-vast-majority-of-republicans-democrats-support-school-freedom-bills/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>McLaughlin & Associates</a>^Sponsor: Club for Growth (PAC)^,"1,000 LV@@1000",0.0022202,44,46,-2
"6/6 - 6/9, 2025@@23901",<a href='https://today.yougov.com/topics/politics/trackers/congressional-ballot-voting-intention'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: The Economist^,"1,397 RV@@1397",0.0021525,44,43,1
"6/9 - 6/15, 2025@@23907",<a href='https://pro.morningconsult.com/trackers/2026-midterm-election-generic-ballot-polls'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"28,058 RV@@28058",0.0015536,43.68,44.94,-1.259998
"6/2 - 6/8, 2025@@23900",<a href='https://pro.morningconsult.com/trackers/2026-midterm-election-generic-ballot-polls'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"28,551 RV@@28551",0.0008409,42.98,45.28,-2.299999
"5/30 - 6/2, 2025@@23894",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_uOptfZ9.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: The Economist^,"1,436 RV@@1436",0.0008309,44,42,2
"5/26 - 6/1, 2025@@23893",<a href='https://pro.morningconsult.com/trackers/2026-midterm-election-generic-ballot-polls'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"29,002 RV@@29002",0.0001068,43.67,44.28,-0.6100006
"5/21 - 5/27, 2025@@23888",<a href='https://cdn.atlasintel.org/20c89f8f-d65e-4991-a491-388ae96986c9.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>AtlasIntel</a>,"3,469 A@@3469",0,50.9,41.7,9.200001
"5/23 - 5/26, 2025@@23887",<a href='https://today.yougov.com/topics/politics/trackers/congressional-ballot-voting-intention'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: The Economist^,"1,486 RV@@1486",0,43,41,2
"5/21 - 5/26, 2025@@23887",<a href='https://mclaughlinonline.com/pols/wp-content/uploads/2025/05/National-May-Presentation-RELEASE-05-27-25.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>McLaughlin & Associates</a>,"1,000 LV@@1000",0,43,47,-4
"5/19 - 5/25, 2025@@23886",<a href='https://pro.morningconsult.com/trackers/2026-midterm-election-generic-ballot-polls'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"28,855 RV@@28855",0,43.21,44.82,-1.610001
"5/20 - 5/21, 2025@@23882",<a href='https://napolitannews.org/posts/generic-ballot-gop-43-percent-dem-43'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>RMG Research</a>^Sponsor: Napolitan Institute^,"1,000 RV@@1000",0,48,45,3
"5/15 - 5/19, 2025@@23880",<a href='https://pinpointpolicyinstitute.org/pinpoint-policy-institute-quarterly-economic-tracking-poll/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Fabrizio Ward</a>^Sponsor: Pinpoint Policy Institute^,800 RV@@800,0,42,42,0
"5/16 - 5/19, 2025@@23880",<a href='https://today.yougov.com/topics/politics/trackers/congressional-ballot-voting-intention'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Economist^,"1,558 RV@@1558",0,43,42,1
"5/16 - 5/19, 2025@@23880",<a href='https://today.yougov.com/topics/politics/trackers/congressional-ballot-voting-intention'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: The Economist^,"1,558 RV@@1558",0,43,42,1
"5/12 - 5/18, 2025@@23879",<a href='https://pro.morningconsult.com/trackers/2026-midterm-election-generic-ballot-polls'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"28,103 RV@@28103",0,43.26,44.45,-1.190002
"5/16 - 5/18, 2025@@23879",<a href='https://www.reuters.com/data/which-party-do-americans-want-run-congress-2025-11-05/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Ipsos</a>^Sponsor: Reuters^,885 RV@@885,0,40,39,1
"5/14 - 5/16, 2025@@23877",<a href='https://www.rasmussenreports.com/public_content/archive/mood_of_america_archive/generic_congressional_ballot/democrats_have_slim_lead_in_early_2026_congressional_forecast'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Rasmussen Reports</a>,"1,012 LV@@1012",0,45,44,1
"5/8 - 5/12, 2025@@23873",<a href='https://echeloninsights.com/in-the-news/may-2025-verified-voter-omnibus-2-2-2-2-2/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Echelon Insights</a>,"1,000 LV@@1000",0,47,48,-1
"5/5 - 5/11, 2025@@23872",<a href='https://pro.morningconsult.com/trackers/2026-midterm-election-generic-ballot-polls'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"27,882 RV@@27882",0,43.35,44.53,-1.18
"5/7 - 5/9, 2025@@23870",<a href='https://coefficient.org/national-approval-study/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>co/efficient</a>,"1,462 LV@@1462",0,45,42,3
"5/6 - 5/8, 2025@@23869",<a href='https://www.cygn.al/poll-aoc-more-popular-than-schumer-trump-image-improving-republicans-decimating-democrats-on-key-issue-trust-and-more/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Cygnal</a>,"1,500 LV@@1500",0,47.1,46.6,0.5
"5/1 - 5/6, 2025@@23867",<a href='https://www.gelliottmorris.com/p/new-poll-americans-oppose-trumps'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Verasight</a>^Sponsor: Strength In Numbers^,"1,000 A@@1000",0,47,41,6
"4/28 - 5/4, 2025@@23865",<a href='https://pro.morningconsult.com/trackers/2026-midterm-election-generic-ballot-polls'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"25,876 RV@@25876",0,44.38,43.51,0.8700027
"4/29 - 4/30, 2025@@23861",<a href='https://my.wick.io/analysis/shared/item/859BF9A4-407C-4E48-9DCF-C5F6A33B0CDA/view'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Wick</a>^Sponsor: 2Way^,"1,000 RV@@1000",0,42,39,3
"4/22 - 4/29, 2025@@23860",<a href='https://mclaughlinonline.com/pols/wp-content/uploads/2025/05/National-April-Presentation-RELEASE-04-29-25.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>McLaughlin & Associates</a>,"1,000 LV@@1000",0,43,45,-2
"4/23 - 4/27, 2025@@23858",<a href='https://www.newsnationnow.com/politics/recession-inflation-immigration-ddhq-poll/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>NewsNation</a>,"1,448 RV@@1448",0,45,40,5
"4/25 - 4/27, 2025@@23858",<a href='https://www.reuters.com/data/which-party-do-americans-want-run-congress-2025-11-05/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Ipsos</a>^Sponsor: Reuters^,897 RV@@897,0,40,39,1
"4/21 - 4/27, 2025@@23858",<a href='https://pro.morningconsult.com/trackers/2026-midterm-election-generic-ballot-polls'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"25,544 RV@@25544",0,44.09,43.14,0.9500008
"4/21 - 4/24, 2025@@23855",<a href='https://www.nytimes.com/2025/04/25/us/politics/trump-poll-approval.html'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>The New York Times/Siena College</a>,913 RV@@913,0,47,44,3
"4/18 - 4/21, 2025@@23852",<a href='https://www.foxnews.com/official-polls/fox-news-poll-democrats-favorability-hits-new-low-still-favored-over-gop-2026-midterms'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Beacon Research/Shaw & Co. Research</a>^Sponsor: Fox News^,"1,104 RV@@1104",0,49,42,7
"4/14 - 4/20, 2025@@23851",<a href='https://pro.morningconsult.com/trackers/2026-midterm-election-generic-ballot-polls'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"26,905 RV@@26905",0,44.04,43.36,0.6800003
